"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 13:14:30 GMT 2024","Thu Sep 05 13:14:35 GMT 2024","5028","tests.Heder_links","test_contacts","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 13:14:35 GMT 2024","Thu Sep 05 13:14:39 GMT 2024","4301","tests.Heder_links","test_dostavka-oplata","","","","test_header_link2[chromium]",""
"passed","Thu Sep 05 13:25:07 GMT 2024","Thu Sep 05 13:25:19 GMT 2024","12709","tests","test_cart","","","","Отмена промокода",""
"skipped","Fri Aug 30 06:57:45 GMT 2024","Fri Aug 30 06:57:45 GMT 2024","0","tests","test_autorization","","","","Авторизация (Архив)",""
"passed","Thu Sep 05 13:25:20 GMT 2024","Thu Sep 05 13:25:31 GMT 2024","11629","tests","test_cart","","","","Очистка поля 'Промокод'",""
"passed","Thu Sep 05 13:14:39 GMT 2024","Thu Sep 05 13:14:43 GMT 2024","4039","tests.Heder_links","test_home","","","","test_home[chromium]",""
"passed","Thu Sep 05 13:26:03 GMT 2024","Thu Sep 05 13:26:26 GMT 2024","22102","tests","test_cart","","","","Вернутся в корзину через кнопку 'Вернутся в корзину'",""
"skipped","Fri Aug 30 06:57:57 GMT 2024","Fri Aug 30 06:57:57 GMT 2024","0","tests","test_autorization","","","","test_stage_login_2[chromium]",""
"passed","Thu Sep 05 13:14:49 GMT 2024","Thu Sep 05 13:14:53 GMT 2024","3909","tests.Heder_links","test_krug","","","","test_header_link[chromium]",""
"broken","Thu Sep 05 13:16:36 GMT 2024","Thu Sep 05 13:17:14 GMT 2024","37487","tests","test_add_to_cart","","","","Добавление товара из поиска",""
"passed","Thu Sep 05 13:20:23 GMT 2024","Thu Sep 05 13:20:46 GMT 2024","22137","tests","test_cart","","","","Удаление товара нажатием на кнопку 'Удалить'",""
"passed","Thu Sep 05 13:19:10 GMT 2024","Thu Sep 05 13:19:23 GMT 2024","12352","tests","test_cart","","","","Активация блока изменения информации",""
"passed","Thu Sep 05 13:14:53 GMT 2024","Thu Sep 05 13:15:00 GMT 2024","6192","tests.Heder_links","test_news","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 13:24:56 GMT 2024","Thu Sep 05 13:25:07 GMT 2024","11009","tests","test_cart","","","","Применение валидного промокода к неподходящему товару",""
"passed","Thu Sep 05 13:21:40 GMT 2024","Thu Sep 05 13:21:53 GMT 2024","13139","tests","test_cart","","","","Активация окна изменения цены",""
"passed","Thu Sep 05 13:27:53 GMT 2024","Thu Sep 05 13:28:04 GMT 2024","11954","tests","test_cart_test_fir_test_IT","","","","Активация блока изменения информации",""
"skipped","Fri Aug 30 06:57:57 GMT 2024","Fri Aug 30 06:57:57 GMT 2024","0","tests","test_autorization","","","","test_stage_login_1[chromium]",""
"passed","Thu Sep 05 13:26:49 GMT 2024","Thu Sep 05 13:27:08 GMT 2024","19607","tests","test_cart","","","","Активация блока 'Недоступно для заказа'",""
"passed","Thu Sep 05 13:14:43 GMT 2024","Thu Sep 05 13:14:49 GMT 2024","5948","tests.Heder_links","test_how-to-order","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 13:18:01 GMT 2024","Thu Sep 05 13:18:11 GMT 2024","10161","tests","test_cart","","","","Открытие модального окна авторизации",""
"broken","Thu Sep 05 13:15:14 GMT 2024","Thu Sep 05 13:15:56 GMT 2024","41724","tests","test_add_to_cart","","","","Добавление товара из листинга",""
"passed","Thu Sep 05 13:23:14 GMT 2024","Thu Sep 05 13:23:35 GMT 2024","21275","tests","test_cart","","","","Переход с пустой корзины 'На главную'",""
"passed","Thu Sep 05 13:22:13 GMT 2024","Thu Sep 05 13:22:23 GMT 2024","10618","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Счетчик)",""
"skipped","Fri Aug 30 06:57:57 GMT 2024","Fri Aug 30 06:57:57 GMT 2024","0","tests","test_autorization","","","","test_stage_login[chromium]",""
"passed","Thu Sep 05 13:21:04 GMT 2024","Thu Sep 05 13:21:20 GMT 2024","16542","tests","test_cart","","","","Изменение цены в блоке калькуляции по всем позициям",""
"passed","Thu Sep 05 13:22:23 GMT 2024","Thu Sep 05 13:22:36 GMT 2024","12329","tests","test_cart","","","","Закрытие блока изменения информации",""
"passed","Thu Sep 05 13:26:26 GMT 2024","Thu Sep 05 13:26:48 GMT 2024","22837","tests","test_cart","","","","Вернутся в корзину через нажатие на пространство вне окна",""
