"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 14:05:50 GMT 2024","Thu Sep 05 14:06:00 GMT 2024","10259","tests","test_cart","","","","Открытие модального окна авторизации",""
"passed","Thu Sep 05 14:02:13 GMT 2024","Thu Sep 05 14:02:18 GMT 2024","5423","tests.Heder_links","test_brands","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:13:20 GMT 2024","Thu Sep 05 14:13:42 GMT 2024","22070","tests","test_cart","","","","Удаление товара нажатием на крестик (Окно изменения цены)",""
"passed","Thu Sep 05 14:11:04 GMT 2024","Thu Sep 05 14:11:24 GMT 2024","19821","tests","test_cart","","","","Переход с пустой корзины 'На главную'",""
"passed","Thu Sep 05 14:10:25 GMT 2024","Thu Sep 05 14:10:44 GMT 2024","18779","tests","test_cart","","","","Удаление всего товара (Корзина)",""
"passed","Thu Sep 05 14:09:43 GMT 2024","Thu Sep 05 14:09:52 GMT 2024","9367","tests","test_cart","","","","Отправка на печать",""
"broken","Thu Sep 05 14:05:03 GMT 2024","Thu Sep 05 14:05:49 GMT 2024","46844","tests","test_autorization","","","","Авторизация через mail.ru",""
"passed","Thu Sep 05 14:02:58 GMT 2024","Thu Sep 05 14:03:02 GMT 2024","3908","tests.Heder_links","test_warranty","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:10:44 GMT 2024","Thu Sep 05 14:11:04 GMT 2024","19914","tests","test_cart","","","","Отмена удаления товара",""
"passed","Thu Sep 05 14:02:43 GMT 2024","Thu Sep 05 14:02:48 GMT 2024","5218","tests.Heder_links","test_news","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:14:05 GMT 2024","Thu Sep 05 14:14:27 GMT 2024","21904","tests","test_cart","","","","Вернутся в корзину через нажатие на пространство вне окна",""
"skipped","Fri Aug 30 06:57:57 GMT 2024","Fri Aug 30 06:57:57 GMT 2024","0","tests","test_autorization","","","","test_stage_login[chromium]",""
"passed","Thu Sep 05 14:12:35 GMT 2024","Thu Sep 05 14:12:46 GMT 2024","10925","tests","test_cart","","","","Применение валидного промокода к неподходящему товару",""
"passed","Thu Sep 05 14:02:48 GMT 2024","Thu Sep 05 14:02:53 GMT 2024","5193","tests.Heder_links","test_promos","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:15:41 GMT 2024","Thu Sep 05 14:15:50 GMT 2024","8917","tests","test_cart_test_fir_test_IT","","","","Открытие модального окна авторизации",""
"passed","Thu Sep 05 14:02:18 GMT 2024","Thu Sep 05 14:02:23 GMT 2024","4458","tests.Heder_links","test_contacts","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:07:51 GMT 2024","Thu Sep 05 14:08:11 GMT 2024","19632","tests","test_cart","","","","Число рядом с кнопкой удалить",""
"passed","Thu Sep 05 14:08:11 GMT 2024","Thu Sep 05 14:08:34 GMT 2024","22981","tests","test_cart","","","","Удаление товара нажатием на кнопку 'Удалить'",""
"passed","Thu Sep 05 14:08:52 GMT 2024","Thu Sep 05 14:09:09 GMT 2024","16926","tests","test_cart","","","","Изменение цены в блоке калькуляции по всем позициям",""
"passed","Thu Sep 05 14:07:13 GMT 2024","Thu Sep 05 14:07:31 GMT 2024","18171","tests","test_cart","","","","Выделение всего товара",""
"passed","Thu Sep 05 14:02:23 GMT 2024","Thu Sep 05 14:02:27 GMT 2024","4666","tests.Heder_links","test_dostavka-oplata","","","","test_header_link2[chromium]",""
"broken","Thu Sep 05 14:06:00 GMT 2024","Thu Sep 05 14:06:59 GMT 2024","59010","tests","test_cart","","","","Переход в чек-аут",""
"passed","Thu Sep 05 14:12:46 GMT 2024","Thu Sep 05 14:12:58 GMT 2024","12244","tests","test_cart","","","","Отмена промокода",""
"passed","Thu Sep 05 14:12:01 GMT 2024","Thu Sep 05 14:12:13 GMT 2024","11882","tests","test_cart","","","","Применение валидного промокода",""
"passed","Thu Sep 05 14:13:10 GMT 2024","Thu Sep 05 14:13:20 GMT 2024","10713","tests","test_cart","","","","Активация подсказки",""
"passed","Thu Sep 05 14:10:02 GMT 2024","Thu Sep 05 14:10:13 GMT 2024","10659","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Счетчик)",""
"passed","Thu Sep 05 14:15:29 GMT 2024","Thu Sep 05 14:15:41 GMT 2024","11904","tests","test_cart_test_fir_test_IT","","","","Активация блока изменения информации",""
"passed","Thu Sep 05 14:11:24 GMT 2024","Thu Sep 05 14:11:44 GMT 2024","19749","tests","test_cart","","","","Активация окна авторизации в пустой корзине",""
"passed","Thu Sep 05 14:12:25 GMT 2024","Thu Sep 05 14:12:35 GMT 2024","10162","tests","test_cart","","","","Раскрытие блока 'Промокод'",""
"passed","Thu Sep 05 14:08:34 GMT 2024","Thu Sep 05 14:08:52 GMT 2024","17738","tests","test_cart","","","","Удаление товара нажатием на крестик (Корзина)",""
"passed","Thu Sep 05 14:02:38 GMT 2024","Thu Sep 05 14:02:42 GMT 2024","4287","tests.Heder_links","test_krug","","","","test_header_link[chromium]",""
"passed","Thu Sep 05 14:14:27 GMT 2024","Thu Sep 05 14:14:47 GMT 2024","20154","tests","test_cart","","","","Активация блока 'Недоступно для заказа'",""
"passed","Thu Sep 05 14:07:31 GMT 2024","Thu Sep 05 14:07:51 GMT 2024","20324","tests","test_cart","","","","Выделение части товара",""
"passed","Thu Sep 05 14:09:09 GMT 2024","Thu Sep 05 14:09:29 GMT 2024","20026","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)",""
"passed","Thu Sep 05 14:02:32 GMT 2024","Thu Sep 05 14:02:38 GMT 2024","5790","tests.Heder_links","test_how-to-order","","","","test_header_link[chromium]",""
"skipped","Thu Sep 05 14:15:50 GMT 2024","Thu Sep 05 14:15:50 GMT 2024","0","tests","test_create_order","","","","test_add_to_cart_from_listing[chromium]",""
"broken","Thu Sep 05 14:04:25 GMT 2024","Thu Sep 05 14:05:02 GMT 2024","37151","tests","test_add_to_cart","","","","Добавление товара из поиска",""
"passed","Thu Sep 05 14:12:13 GMT 2024","Thu Sep 05 14:12:25 GMT 2024","11352","tests","test_cart","","","","Применение невалидного промокода",""
"skipped","Fri Aug 30 06:57:45 GMT 2024","Fri Aug 30 06:57:45 GMT 2024","0","tests","test_autorization","","","","Авторизация через gmail",""
"broken","Thu Sep 05 14:03:45 GMT 2024","Thu Sep 05 14:04:25 GMT 2024","40257","tests","test_add_to_cart","","","","Добавление товара из корзины",""
