"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 12:23:42 GMT 2024","Thu Oct 03 12:23:46 GMT 2024","4068","tests.Heder_links","test_dostavka-oplata","","","","test_header_link2[chromium]",""
"passed","Thu Oct 03 12:32:04 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","28506","tests","test_cart","","","","Если товар не выбран кнопка 'Оформить заказ' не активна",""
"passed","Thu Oct 03 12:23:37 GMT 2024","Thu Oct 03 12:23:42 GMT 2024","4960","tests.Heder_links","test_contacts","","","","test_header_link[chromium]",""
"passed","Thu Oct 03 12:25:27 GMT 2024","Thu Oct 03 12:25:55 GMT 2024","28840","tests","test_cart","","","","Выделение всего товара",""
"passed","Thu Oct 03 12:28:55 GMT 2024","Thu Oct 03 12:29:07 GMT 2024","12356","tests","test_cart","","","","Отправка на печать",""
"passed","Thu Oct 03 12:24:10 GMT 2024","Thu Oct 03 12:24:14 GMT 2024","4264","tests.Heder_links","test_video","","","","test_header_link[chromium]",""
"failed","Thu Oct 03 12:30:03 GMT 2024","Thu Oct 03 12:30:35 GMT 2024","31566","tests","test_cart","","","","Удаление всего товара (Корзина)",""
"passed","Thu Oct 03 12:24:14 GMT 2024","Thu Oct 03 12:24:18 GMT 2024","3909","tests.Heder_links","test_warranty","","","","test_header_link[chromium]",""
"passed","Thu Oct 03 12:25:55 GMT 2024","Thu Oct 03 12:26:27 GMT 2024","31508","tests","test_cart","","","","Выделение части товара",""
"skipped","Thu Oct 03 12:32:32 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","0","tests","test_cart","","","","Применение валидного промокода к неподходящему товару",""
"passed","Thu Oct 03 12:27:34 GMT 2024","Thu Oct 03 12:28:00 GMT 2024","26490","tests","test_cart","","","","Удаление товара нажатием на крестик (Корзина)",""
"skipped","Thu Oct 03 12:32:32 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","0","tests","test_cart","","","","Применение невалидного промокода",""
"skipped","Thu Oct 03 12:32:32 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","0","tests","test_cart","","","","Вернутся в корзину через кнопку 'Вернутся в корзину'",""
"passed","Thu Oct 03 12:24:00 GMT 2024","Thu Oct 03 12:24:05 GMT 2024","5363","tests.Heder_links","test_news","","","","test_header_link[chromium]",""
"broken","Thu Oct 03 12:29:22 GMT 2024","Thu Oct 03 12:30:02 GMT 2024","40492","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Счетчик)",""
"passed","Thu Oct 03 12:30:35 GMT 2024","Thu Oct 03 12:31:02 GMT 2024","26779","tests","test_cart","","","","Отмена удаления товара",""
"skipped","Thu Oct 03 12:32:32 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","0","tests","test_cart","","","","Удаление товара нажатием на крестик (Окно изменения цены)",""
"passed","Thu Oct 03 12:23:50 GMT 2024","Thu Oct 03 12:23:55 GMT 2024","4575","tests.Heder_links","test_how-to-order","","","","test_header_link[chromium]",""
"skipped","Thu Oct 03 12:32:32 GMT 2024","Thu Oct 03 12:32:32 GMT 2024","0","tests","test_cart","","","","Очистка поля 'Промокод'",""
"passed","Thu Oct 03 12:28:27 GMT 2024","Thu Oct 03 12:28:55 GMT 2024","27352","tests","test_cart","","","","Изменение цены в блоке калькуляции по части позиций (Чек-бокс)",""
"passed","Thu Oct 03 12:24:32 GMT 2024","Thu Oct 03 12:24:44 GMT 2024","11961","tests","test_add_to_cart","","","","Добавление товара из корзины",""
"skipped","Thu Oct 03 12:24:52 GMT 2024","Thu Oct 03 12:24:52 GMT 2024","0","tests","test_autorization","","","","Авторизуюсь через testmail.app",""
