"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 20 12:46:21 GMT 2024","Sun Oct 20 12:46:47 GMT 2024","25707","tests","test_cart","","","","Выделение всего товара",""
"passed","Sun Oct 20 12:52:45 GMT 2024","Sun Oct 20 12:53:03 GMT 2024","17962","tests","test_cart","","","","Закрытие блока изменения информации",""
"passed","Sun Oct 20 12:49:19 GMT 2024","Sun Oct 20 12:49:29 GMT 2024","10747","tests","test_cart","","","","Отправка на печать",""
"passed","Sun Oct 20 12:48:06 GMT 2024","Sun Oct 20 12:48:30 GMT 2024","24240","tests","test_cart","","","","Удаление товара нажатием на крестик (Корзина)",""
"passed","Sun Oct 20 12:55:57 GMT 2024","Sun Oct 20 12:56:23 GMT 2024","25415","tests","test_cart","","","","Удаление всего товара в блоке (Блок 'Недоступно для заказа')",""
"passed","Sun Oct 20 12:45:05 GMT 2024","Sun Oct 20 12:45:12 GMT 2024","6193","tests.Heder_links","test_warranty","","","","test_header_link[chromium]",""
"passed","Sun Oct 20 12:50:42 GMT 2024","Sun Oct 20 12:51:08 GMT 2024","26174","tests","test_cart","","","","Переход с пустой корзины 'На главную'",""
"passed","Sun Oct 20 12:43:58 GMT 2024","Sun Oct 20 12:44:07 GMT 2024","8829","tests.Heder_links","test_blogs","","","","test_header_link[chromium]",""
"passed","Sun Oct 20 12:44:27 GMT 2024","Sun Oct 20 12:44:32 GMT 2024","5368","tests.Heder_links","test_home","","","","Переход на домашнюю страницу",""
"skipped","Sun Oct 20 12:45:42 GMT 2024","Sun Oct 20 12:45:42 GMT 2024","0","tests","test_autorization","","","","Авторизуюсь через testmail.app",""
"passed","Sun Oct 20 12:49:29 GMT 2024","Sun Oct 20 12:49:43 GMT 2024","13561","tests","test_cart","","","","Изменение количества товара через счетчик",""
